"SCTBKEY","DISTRICT"
"480019507003075",6
"480019507003076",6
"480019507003077",6
"480019507003078",6
"480019507003079",6
"480019507003080",6
"480019507003081",6
"480019507003082",6
"480019507003083",6
"480019507003084",6
"480019507003085",6
"480019507003086",6
"480019507003087",6
"480019507003088",6
"480019507003089",6
"480019508001000",6
"480019508001001",6
"480019508001002",6
"480019508001003",6
"480019508001004",6
"480019508001005",6
"480019508001006",6
"480019508001007",6
"480019508001008",6
"480019508001009",6
"480019508001010",6
"480019508001011",6
"480019508001012",6
"480019508001013",6
"480019508001014",6
"480019508001015",6
"480019508001016",6
"480019508001017",6
"480019508001018",6
"480019508001019",6
"480019508001020",6
"480019508001021",6
"480019508001022",6
"480019508001023",6
"480019508001024",6
"480019508001025",6
"480019508001026",6
"480019508001027",6
"480019508001028",6
"480019508001029",6
"480019508001030",6
"480019508001031",6
"480019508002000",6
"480019508002001",6
"480019508002002",6
"480019508002003",6
"480019508002004",6
"480019508002005",6
"480019508002006",6
"480019508002007",6
"480019508002008",6
"480019508002009",6
"480019508002010",6
"480019508002011",6
"480019508002012",6
"480019508002013",6
"480019508002014",6
"480019508002015",6
"480019508002016",6
"480019508002017",6
"480019508002018",6
"480019508002019",6
"480019508002020",6
"480019508002021",6
"480019508002022",6
"480019508002023",6
"480019508002024",6
"480019508002025",6
"480019508002026",6
"480019508002027",6
"480019508002028",6
"480019508002029",6
"480019508002030",6
"480019508002031",6
"480019508002032",6
"480019508002033",6
"480019508002034",6
"480019508002035",6
"480019508002036",6
"480019508002037",6
"480019508002038",6
"480019508002039",6
"480019508002040",6
"480019508002041",6
"480019508003000",6
"480019508003001",6
"480019508003002",6
"480019508003003",6
"480019508003004",6
"480019508003005",6
"480019508003006",6
"480019508003007",6
"480019508003008",6
"480019508003009",6
"480019508003010",6
"480019508003011",6
"480019508003012",6
"480019508003013",6
"480019508003014",6
"480019508003015",6
"480019508003016",6
"480019508003017",6
"480019508003018",6
"480019508003019",6
"480019508003020",6
"480019508003021",6
"480019508003022",6
"480019508003023",6
"480019508003024",6
"480019508003025",6
"480019508003026",6
"480019508003027",6
"480019508003028",6
"480019508003029",6
"480019508003030",6
"480019508003031",6
"480019508003032",6
"480019508003033",6
"480019508003034",6
"480019508003035",6
"480019508003036",6
"480019508003037",6
"480019508003038",6
"480019508003039",6
"480019508003040",6
"480019508003041",6
"480019508004000",6
"480019508004001",6
"480019508004002",6
"480019508004003",6
"480019508004004",6
"480019508004005",6
"480019508004006",6
"480019508004007",6
"480019508004008",6
"480019508004009",6
"480019508004010",6
"480019508004011",6
"480019508004012",6
"480019508004013",6
"480019508004014",6
"480019508004015",6
"480019508004016",6
"480019508004017",6
"480019508004018",6
"480019508004019",6
"480019508004020",6
"480019508004021",6
"480019508004022",6
"480019508004023",6
"480019508004024",6
"480019508004025",6
"480019508004026",6
"480019508004027",6
"480019508005000",6
"480019508005001",6
"480019508005002",6
"480019508005003",6
"480019508005004",6
"480019508005005",6
"480019508005006",6
"480019508005007",6
"480019508005008",6
"480019508005009",6
"480019508005010",6
"480019508005011",6
"480019508005012",6
"480019508005013",6
"480019508005014",6
"480019508005015",6
"480019508005016",6
"480019508005017",6
"480019508005018",6
"480019508005019",6
"480019508005020",6
"480019509011000",6
"480019509011001",6
"480019509011002",6
"480019509011003",6
"480019509011004",6
"480019509011005",6
"480019509011006",6
"480019509011007",6
"480019509011008",6
"480019509011009",6
"480019509011010",6
"480019509011011",6
"480019509011012",6
"480019509011013",6
"480019509011014",6
"480019509011015",6
"480019509011016",6
"480019509011017",6
"480019509011018",6
"480019509011019",6
"480019509011020",6
"480019509011021",6
"480019509011022",6
"480019509011023",6
"480019509011024",6
"480019509011025",6
"480019509011026",6
"480019509011027",6
"480019509011028",6
"480019509011029",6
"480019509011030",6
"480019509011031",6
"480019509011032",6
"480019509011033",6
"480019509011034",6
"480019509011035",6
"480019509011036",6
"480019509011037",6
"480019509011038",6
"480019509011039",6
"480019509011040",6
"480019509011041",6
"480019509011042",6
"480019509011043",6
"480019509011044",6
"480019509011045",6
"480019509011046",6
"480019509011047",6
"480019509011048",6
"480019509011049",6
"480019509011050",6
"480019509011051",6
"480019509011052",6
"480019509011053",6
"480019509011054",6
"480019509011055",6
"480019509011056",6
"480019509011057",6
"480019509011058",6
"480019509011059",6
"480019509011060",6
"480019509011061",6
"480019509011062",6
"480019509011063",6
"480019509011064",6
"480019509011065",6
"480019509011066",6
"480019509012000",6
"480019509012001",6
"480019509012002",6
"480019509012003",6
"480019509012004",6
"480019509012005",6
"480019509012006",6
"480019509012007",6
"480019509012008",6
"480019509012009",6
"480019509012010",6
"480019509012011",6
"480019509012012",6
"480019509012013",6
"480019509012014",6
"480019509012015",6
"480019509012016",6
"480019509012017",6
"480019509012018",6
"480019509012019",6
"480019509012020",6
"480019509012021",6
"480019509012022",6
"480019509012023",6
"480019509012024",6
"480019509012025",6
"480019509012026",6
"480019509012027",6
"480019509012028",6
"480019509012029",6
"480019509012030",6
"480019509012031",6
"480019509012032",6
"480019509012033",6
"480019509012034",6
"480019509012035",6
"480019509013000",6
"480019509013001",6
"480019509013002",6
"480019509013003",6
"480019509013004",6
"480019509013005",6
"480019509013006",6
"480019509013007",6
"480019509013008",6
"480019509013009",6
"480019509013010",6
"480019509013011",6
"480019509013012",6
"480019509013013",6
"480019509013014",6
"480019509013015",6
"480019509013016",6
"480019509013017",6
"480019509013018",6
"480019509013019",6
"480019509013020",6
"480019509013021",6
"480019509014000",6
"480019509014001",6
"480019509014002",6
"480019509014003",6
"480019509014004",6
"480019509014005",6
"480019509014006",6
"480019509014007",6
"480019509014008",6
"480019509014009",6
"480019509014010",6
"480019509014011",6
"480019509014012",6
"480019509014013",6
"480019509014014",6
"480019509014015",6
"480019509014016",6
"480019509014017",6
"480019509014018",6
"480019509014019",6
"480019509014020",6
"480019509014021",6
"480019509014022",6
"480019509014023",6
"480019509014024",6
"480019509014025",6
"480019509014026",6
"480019509014027",6
"480019509014028",6
"480019509014029",6
"480019509014030",6
"480019509014031",6
"480019509014032",6
"480019509014033",6
"480019509014034",6
"480019509014035",6
"480019509014036",6
"480019509014037",6
"480019509014038",6
"480019509014039",6
"480019509014040",6
"480019509014041",6
"480019509014042",6
"480019509014043",6
"480019509014044",6
"480019509014045",6
"480019509014046",6
"480019509014047",6
"480019509014048",6
"480019509014049",6
"480019509014050",6
"480019509014051",6
"480019509014052",6
"480019509014053",6
"480019509014054",6
"480019509014055",6
"480019509014056",6
"480019509014057",6
"480019509014058",6
"480019509014059",6
"480019509014060",6
"480019509014061",6
"480019509014062",6
"480019509014063",6
"480019509014064",6
"480019509014065",6
"480019509014066",6
"480019509014067",6
"480019509014068",6
"480019509014069",6
"480019509014070",6
"480019509014071",6
"480019509014072",6
"480019509014073",6
"480019509014074",6
"480019509014075",6
"480019509021000",6
"480019509021001",6
"480019509021002",6
"480019509021003",6
"480019509021004",6
"480019509021005",6
"480019509021006",6
